,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%,Cluster
71,Reagan O'Grady,D,SBY,16.751,55,2,3,8,5,13,58,3.45,0.04,0.05,0.15,0.09,0.24,1.05,3.02,0.05,0,2,0,0,4,0,2,52,3.85,1,2,50,0
72,Nick McHugh,LW,KIT,16.586,46,2,6,5,8,13,38,5.26,0.04,0.13,0.11,0.17,0.28,0.83,5.52,0.12,1,12,8.33,1,12,8.33,0,14,0,2,4,50,0
73,Emmett Sproule,C,ER,16.493,56,5,6,2,11,13,47,10.64,0.09,0.11,0.04,0.2,0.23,0.84,4.98,0.09,0,9,0,1,6,16.67,4,32,12.5,1,13,7.69,1
74,Joseph Garreffa,RW,KIT,16.102,41,3,8,2,11,13,37,8.11,0.07,0.2,0.05,0.27,0.32,0.9,4.77,0.12,0,6,0,0,5,0,3,26,11.54,10,10,100,1
75,Conor Timmins,D,SSM,16.991,60,4,3,6,7,13,32,12.5,0.07,0.05,0.1,0.12,0.22,0.53,2.03,0.03,1,1,100,2,6,33.33,1,25,4,0,0,0,1
76,Lev Starikov,D,WSR,16.994,66,5,3,5,8,13,81,6.17,0.08,0.05,0.08,0.12,0.2,1.23,3.55,0.05,0,3,0,2,4,50,3,74,4.05,0,0,0,1
77,Liam Stevens,LW,GUE,16.397,63,7,3,2,10,12,57,12.28,0.11,0.05,0.03,0.16,0.19,0.9,6.66,0.11,2,12,16.67,2,8,25,3,37,8.11,7,20,35,1
78,Luke Bignell,C,BAR,16.866,56,7,2,3,9,12,48,14.58,0.12,0.04,0.05,0.16,0.21,0.86,5.59,0.1,2,7,28.57,3,9,33.33,2,32,6.25,217,555,39.1,1
79,Billy Constantinou,D,NIAG,16.477,45,3,5,4,8,12,42,7.14,0.07,0.11,0.09,0.18,0.27,0.93,2.31,0.05,0,2,0,0,1,0,3,39,7.69,2,2,100,1
80,Nathan Staios,D,WSR,16.332,54,3,4,5,7,12,62,4.84,0.06,0.07,0.09,0.13,0.22,1.15,2.72,0.05,0,1,0,0,2,0,3,59,5.08,0,0,0,1
