,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
853,Erik Cernak,D,ER,18.3,41,4,6,5,10,15,0.1,0.15,0.12,0.24,0.37
854,Mike Robinson,LW,NIAG,19.862,72,5,5,5,10,15,0.065,0.085,0.085,0.145,0.225
855,Dylan MacEachern,LW,NIAG/LDN,20.452,68,8,3,4,11,15,0.12,0.04,0.06,0.16,0.22
856,Austin Hall,D,GUE,17.938,89,3,6,6,9,15,0.035,0.065,0.06,0.1,0.155
857,Trent Hawke,RW,BAR,19.083,65,9,5,1,14,15,0.14,0.08,0.02,0.22,0.23
858,Zach Tatrn,LW,PBO,19.584,62,6,3,6,9,15,0.1,0.05,0.1,0.15,0.24
859,Jared Gilbert,D,KIT,17.93,97,0,8,7,8,15,0.0,0.103,0.05,0.103,0.152
860,Michael Holmes,D,SAG,17.863,139,4,5,6,9,15,0.032,0.032,0.032,0.065,0.098
861,Craig Moore,C,BRA,19.584,60,6,5,4,11,15,0.1,0.08,0.07,0.18,0.25
862,Cole Mayo,D,ER/SBY,17.906,126,3,6,6,9,15,0.02,0.04,0.028,0.057,0.085
863,Vincent Scognamiglio,LW,PLY/FLNT,18.288,121,6,5,3,11,14,0.025,0.05,0.012,0.075,0.09
864,Derek Froats,LW,KGN/BRA,19.57,69,11,1,2,12,14,0.152,0.02,0.045,0.17,0.21
865,Owen McDade,C,OSH,18.343,74,5,6,3,11,14,0.09,0.098,0.045,0.182,0.232
866,Chris  Doyle,C,MISS,20.485,20,6,4,4,10,14,0.3,0.2,0.2,0.5,0.7
867,David Elsner,RW,SSM,19.483,48,7,6,1,13,14,0.15,0.12,0.02,0.27,0.29
868,Mitchell Webb,LW,PBO/SAG/ER,17.928,116,3,9,2,12,14,0.01,0.032,0.01,0.045,0.055
869,Artem Rasulov,RW,MISS,17.268,51,2,6,6,8,14,0.04,0.12,0.12,0.16,0.27
870,Marc Beckstead,LW,KGN,17.413,53,6,4,4,10,14,0.11,0.08,0.08,0.19,0.26
871,Victor Terreri,C,NIAG/LDN/BAR,19.438,83,7,4,3,11,14,0.095,0.055,0.035,0.155,0.195
872,Brett Neumann,C,ER,16.581,52,7,6,1,13,14,0.13,0.12,0.02,0.25,0.27
873,MacKenzie Entwistle,RW,HAM,16.173,60,6,4,4,10,14,0.1,0.07,0.07,0.17,0.23
