,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
360,Arthur Kiyaga,D,VIC,17.961,26,0,0,1,0,1,19,0.0,0.0,0.0,0.04,0.0,0.04,0.73
361,Jean-Pierre Morin,D,CHI,18.911,5,0,0,1,0,1,8,0.0,0.0,0.0,0.2,0.0,0.2,1.6
362,Dominic Tweed,D,ROU,17.347,53,0,0,1,0,1,22,0.0,0.0,0.0,0.02,0.0,0.02,0.42
363,Kevin Hebert,D,BAT,17.914,5,0,0,1,0,1,0,0.0,0.0,0.0,0.2,0.0,0.2,0.0
364,Colby MacIntyre,LW,HAL,19.697,32,0,1,0,1,1,2,0.0,0.0,0.03,0.0,0.03,0.03,0.06
365,Jean-Sebastien Breton,D,QUE,16.282,3,1,0,0,1,1,2,50.0,0.33,0.0,0.0,0.33,0.33,0.67
366,Nicolas Meilleur,LW,BAT,18.188,2,1,0,0,1,1,1,100.0,0.5,0.0,0.0,0.5,0.5,0.5
367,Nicholas Pelletier,LW,MON,17.35,2,1,0,0,1,1,1,100.0,0.5,0.0,0.0,0.5,0.5,0.5
368,Francis Charette,LW,RIM,16.677,2,1,0,0,1,1,11,9.09,0.5,0.0,0.0,0.5,0.5,5.5
369,Jean-Claude Milot,D,ROU,18.15,16,0,1,0,1,1,19,0.0,0.0,0.06,0.0,0.06,0.06,1.19
370,Maxime Fortunus,D,BAC,20.135,5,1,0,0,1,1,10,10.0,0.2,0.0,0.0,0.2,0.2,2.0
371,Philippe Poirier,D,BAT,16.512,52,1,0,0,1,1,22,4.55,0.02,0.0,0.0,0.02,0.02,0.42
372,Louis-Philippe Lachance,D,QUE,17.701,28,0,1,0,1,1,18,0.0,0.0,0.04,0.0,0.04,0.04,0.64
373,Tyler Chambers,LW,QUE,19.425,35,0,1,0,1,1,7,0.0,0.0,0.03,0.0,0.03,0.03,0.2
374,Vaclav Fiser,LW,QUE,17.706,8,0,1,0,1,1,7,0.0,0.0,0.12,0.0,0.12,0.12,0.88
375,Brandon Tidball,D,QUE,18.276,9,0,1,0,1,1,2,0.0,0.0,0.11,0.0,0.11,0.11,0.22
376,Jonathan Yergeau,D,BAT,17.391,8,0,1,0,1,1,5,0.0,0.0,0.12,0.0,0.12,0.12,0.62
377,Grant Thomas,LW,HAL,19.469,14,0,1,0,1,1,12,0.0,0.0,0.07,0.0,0.07,0.07,0.86
378,Colin Ledaire,LW,ROU,18.579,18,0,1,0,1,1,6,0.0,0.0,0.06,0.0,0.06,0.06,0.33
