,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
268,Carter Sandlak,LW,GUE,16.329,61,7,3,5,10,15,0.11,0.05,0.08,0.16,0.25
269,Marc Cantin,D,WSR/BELV,19.472,57,3,4,8,7,15,0.05,0.07,0.14,0.12,0.26
270,Francis Menard,C,GUE,17.539,65,7,6,2,13,15,0.11,0.09,0.03,0.2,0.23
271,Andrew Merrett,RW,OTT,20.452,66,7,4,4,11,15,0.11,0.06,0.06,0.17,0.23
272,J.P. Labardo,C,GUE/OSH,17.558,65,8,3,4,11,15,0.12,0.05,0.06,0.17,0.23
273,Garett Hunter,C,LDN,19.658,68,4,7,4,11,15,0.06,0.1,0.06,0.16,0.22
274,Brady Austin,D,ER,16.249,64,5,6,4,11,15,0.08,0.09,0.06,0.17,0.23
275,JC Campagna,LW,SAR,16.263,59,7,4,3,11,14,0.12,0.07,0.05,0.19,0.24
276,Daniel Pachis,LW,OSH,18.281,54,5,7,2,12,14,0.09,0.13,0.04,0.22,0.26
277,Myles Doan,C,OS,17.328,64,8,4,2,12,14,0.12,0.06,0.03,0.19,0.22
278,Nick Trecapelli,D,SAG/SBY,17.972,63,3,3,8,6,14,0.05,0.05,0.13,0.1,0.22
279,Christopher Breen,D,ER/PBO,20.214,65,4,1,9,5,14,0.06,0.02,0.14,0.08,0.22
280,Scott Harrington,D,LDN,16.518,55,1,6,7,7,14,0.02,0.11,0.13,0.13,0.25
281,Stephen Gaskin,D,BAR,18.593,65,1,6,7,7,14,0.02,0.09,0.11,0.11,0.22
282,Jamie Devane,LW,PLY,18.568,51,6,4,4,10,14,0.12,0.08,0.08,0.2,0.27
283,Kyle Tarini,RW,SBY,19.664,63,5,5,4,10,14,0.08,0.08,0.06,0.16,0.22
284,Craig Hottot,RW,SAR,17.583,49,6,4,4,10,14,0.12,0.08,0.08,0.2,0.29
285,Paul Bezzo,D,WSR/BELV/OS,18.889,64,2,3,8,5,13,0.03,0.05,0.12,0.08,0.2
286,Ron Soucie,D,SAR,18.204,60,3,4,6,7,13,0.05,0.07,0.1,0.12,0.22
287,Cameron Odam,D,KGN,19.223,63,2,6,5,8,13,0.03,0.1,0.08,0.13,0.21
288,Tim Campbell,D,GUE,18.582,57,2,8,3,10,13,0.04,0.14,0.05,0.18,0.23
289,Trevor Morbeck,RW,SSM,15.817,57,5,7,1,12,13,0.09,0.12,0.02,0.21,0.23
290,Johnson Andrews,RW,NIAG,18.582,62,7,6,0,13,13,0.11,0.1,0.0,0.21,0.21
291,Anthony Camara,LW,SAG,16.03,65,6,1,5,7,12,0.09,0.02,0.08,0.11,0.18
292,Austin Levi,D,PLY,17.58,68,3,4,5,7,12,0.04,0.06,0.07,0.1,0.18
293,Cody Ceci,RD,OTT,15.735,64,4,3,5,7,12,0.06,0.05,0.08,0.11,0.19
294,Simon Gronvaldt,RD,BAR/NIAG,18.626,51,1,4,7,5,12,0.02,0.08,0.14,0.1,0.24
295,Craig Duininck,D,WSR,16.381,57,1,4,7,5,12,0.02,0.07,0.12,0.09,0.21
296,Brad Walch,D,SAG,18.642,63,1,4,7,5,12,0.02,0.06,0.11,0.08,0.19
297,Daniel Lombardi,LW,SBY,20.512,13,6,4,2,10,12,0.46,0.31,0.15,0.77,0.92
298,Ben  Thomson,LW,KIT,16.663,46,6,3,3,9,12,0.13,0.07,0.07,0.2,0.26
299,Brett Mackie,LW,BELV,18.311,52,4,4,4,8,12,0.08,0.08,0.08,0.15,0.23
300,Andrew  Crescenzi,C,KIT,17.131,68,8,3,1,11,12,0.12,0.04,0.01,0.16,0.18
301,Michael Kantor,RW,SAG,17.618,29,4,5,3,9,12,0.14,0.17,0.1,0.31,0.41
302,Garret Ross,LW,SAG,17.306,43,7,2,2,9,11,0.16,0.05,0.05,0.21,0.26
303,Cody Alcock,LW,BELV/OSH,17.397,48,2,8,1,10,11,0.04,0.17,0.02,0.21,0.23
304,Cameron Wind,D,BRA,17.64,66,3,5,3,8,11,0.05,0.08,0.05,0.12,0.17
