,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
446,Dante Salituro,RW,LDN,19.833,30,11,6,5,17,22,64,17.19,0.37,0.2,0.17,0.57,0.73,2.13,9.29,0.31,3,9,33.33,1,6,16.67,7,49,14.29,4,12,33.33
447,Ben Evans,LW,OTT,17.665,60,8,9,5,17,22,79,10.13,0.13,0.15,0.08,0.28,0.37,1.32,10.21,0.17,4,12,33.33,1,17,5.88,3,50,6.0,85,178,47.75
448,Sam Harding,C,KGN,19.461,68,8,12,2,20,22,85,9.41,0.12,0.18,0.03,0.29,0.32,1.25,8.98,0.13,5,18,27.78,0,11,0.0,3,56,5.36,667,1140,58.51
449,Simon Rose,D,NB,16.982,86,3,12,7,15,22,76,2.345,0.03,0.13,0.08,0.16,0.24,0.835,1.51,0.035,0,2,0.0,1,7,8.335,2,67,1.755,0,1,0.0
450,Louka Henault,D,WSR,17.121,100,2,11,9,13,22,78,1.755,0.015,0.095,0.085,0.11,0.195,0.74,1.76,0.03,1,1,50.0,1,8,8.335,0,69,0.0,0,0,0.0
451,Andrew Bruder,C,NIAG,17.582,93,8,8,6,16,22,90,8.895,0.09,0.09,0.065,0.175,0.24,0.985,4.265,0.09,3,12,31.25,2,18,11.25,3,60,5.0,151,316,48.01
452,Emmett Serensits,D,SBY,18.19,114,5,8,8,13,21,119,4.215,0.045,0.07,0.07,0.11,0.19,1.065,1.845,0.035,0,2,0.0,1,1,50.0,4,116,3.605,1,4,12.5
453,Mason Millman,D,SAG,16.661,62,3,7,11,10,21,70,2.345,0.025,0.06,0.1,0.09,0.19,1.07,1.21,0.035,0,4,0.0,1,3,16.665,2,63,1.755,1,3,16.665
454,Tye Kartye,C,SSM,17.377,54,2,9,10,11,21,60,3.33,0.04,0.17,0.19,0.2,0.39,1.11,5.26,0.1,0,6,0.0,2,14,14.29,0,40,0.0,197,360,54.72
455,Andrew Perrott,D,LDN/OS,16.56,105,6,7,8,13,21,110,5.31,0.055,0.07,0.085,0.125,0.215,1.04,1.915,0.035,0,1,0.0,1,2,25.0,5,107,4.25,0,0,0.0
456,Cody Caron,RW,KGN,20.302,46,8,9,4,17,21,92,8.7,0.17,0.2,0.09,0.37,0.46,2.0,9.64,0.21,2,13,15.38,2,11,18.18,4,68,5.88,3,6,50.0
457,Erik Cernak,D,ER,19.302,50,3,10,8,13,21,93,3.23,0.06,0.2,0.16,0.26,0.42,1.86,5.25,0.11,1,2,50.0,1,6,16.67,1,85,1.18,2,4,50.0
458,Doug Blaisdell,D,KIT/SBY,20.067,81,2,7,12,9,21,92,5.61,0.045,0.105,0.17,0.145,0.315,0.955,2.47,0.05,0,7,0.0,0,4,0.0,2,81,6.25,2,6,33.335
459,Adrien Beraldo,D,PBO/KGN,18.173,105,10,8,3,18,21,101,8.915,0.095,0.075,0.03,0.17,0.2,0.955,2.06,0.04,1,2,25.0,0,3,0.0,9,96,8.595,0,0,0.0
460,Ben Garagan,C,HAM/SBY/WSR,18.941,144,7,6,8,13,21,137,5.722,0.06,0.032,0.055,0.092,0.148,0.995,4.695,0.095,5,24,27.502,0,20,0.0,2,93,2.5,282,652,43.282
461,Alex Di Carlo,D,OSH/FLNT,19.977,106,5,9,7,14,21,157,3.75,0.055,0.09,0.06,0.14,0.2,1.47,2.275,0.045,0,1,0.0,0,0,0.0,5,156,3.755,1,1,50.0
462,Jackson Doherty,LW,OS,17.565,110,11,5,4,16,20,84,15.065,0.1,0.045,0.04,0.145,0.185,0.755,3.86,0.065,3,14,21.43,2,9,14.285,6,61,12.645,4,16,25.395
463,Kyle Heitzner,C,BAR/MISS,18.416,115,10,7,3,17,20,109,5.155,0.048,0.03,0.012,0.078,0.088,1.545,2.702,0.118,1,19,3.125,2,16,6.668,7,74,5.278,152,330,48.47
