,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
342,Mike Reddington,D,SPO,17.076,71,2,5,3,7,10,0.03,0.07,0.04,0.1,0.14
343,Corey Tyrell,C,P.G,16.718,70,5,2,2,7,9,0.07,0.03,0.03,0.1,0.13
344,Patrick Kozyra,D,SPO/M.H,18.64,61,1,3,5,4,9,0.02,0.05,0.08,0.07,0.15
345,Chris de la Lande,D,EVT,17.137,39,2,3,4,5,9,0.05,0.08,0.1,0.13,0.23
346,Jason Grecica,RW,M.J/POR,17.364,40,2,3,4,5,9,0.05,0.07,0.1,0.12,0.23
347,Luke Egener,D,RDR,19.601,64,2,6,1,8,9,0.03,0.09,0.02,0.12,0.14
348,Carter Ashton,RW,LET,16.458,40,5,4,0,9,9,0.12,0.1,0.0,0.23,0.23
349,Brad Hoban,RW,S.C,16.66,56,3,4,2,7,9,0.05,0.07,0.04,0.12,0.16
350,Jace Coyle,D,SPO,17.312,52,1,3,5,4,9,0.02,0.06,0.1,0.08,0.17
351,Mitch McColm,D,TRI,18.292,52,1,8,0,9,9,0.02,0.15,0.0,0.17,0.17
352,Zak Stebner,D,P.A/RDR,17.323,64,2,5,2,7,9,0.03,0.08,0.03,0.11,0.14
353,Collin Bowman,D,KEL,16.258,67,2,1,6,3,9,0.03,0.01,0.09,0.04,0.13
354,Sanfred King,RW,BRN,17.668,63,2,0,7,2,9,0.03,0.0,0.11,0.03,0.14
355,Mason Wilgosh,C,TRI,16.334,44,3,2,3,5,8,0.07,0.05,0.07,0.11,0.18
356,Ryan Gillen,D,CGY,20.376,54,2,2,4,4,8,0.04,0.04,0.07,0.07,0.15
357,Liam Darragh,RW,CWK,17.701,60,2,5,1,7,8,0.03,0.08,0.02,0.12,0.13
358,Neil Manning,D,VAN,16.345,34,1,3,4,4,8,0.03,0.09,0.12,0.12,0.24
359,Matt MacKenzie,D,CGY,15.918,39,2,0,6,2,8,0.05,0.0,0.15,0.05,0.21
360,Brent  Henke,RW,EDM,17.512,63,2,3,3,5,8,0.03,0.05,0.05,0.08,0.13
361,Art Bidlevskii,D,P.G,16.43,62,1,3,4,4,8,0.02,0.05,0.06,0.06,0.13
362,Ryan  Fox,RW,CGY,17.388,46,1,4,3,5,8,0.02,0.09,0.07,0.11,0.17
363,Chris Van Duynhoven,D,CWK/P.G,18.579,69,3,2,3,5,8,0.04,0.03,0.04,0.07,0.12
364,Colin  Haas,C,P.G,18.445,65,3,3,2,6,8,0.05,0.05,0.03,0.09,0.12
365,Matt Betker,C,POR,18.607,38,4,4,0,8,8,0.11,0.11,0.0,0.21,0.21
366,Tyler Hlookoff,D,EDM,17.432,53,2,3,3,5,8,0.04,0.06,0.06,0.09,0.15
367,Jordan Trach,LW,P.A,17.443,46,6,1,1,7,8,0.13,0.02,0.02,0.15,0.17
368,Drew Hoff,C,TRI,19.677,67,3,4,1,7,8,0.04,0.06,0.01,0.1,0.12
369,Josh Schappert,RW,SEA,18.662,23,4,3,1,7,8,0.17,0.13,0.04,0.3,0.35
370,Mitch Versteeg,D,LET,18.864,56,3,4,1,7,8,0.05,0.07,0.02,0.12,0.14
371,Jesse Burt,C,EVT,18.385,71,3,3,2,6,8,0.04,0.04,0.03,0.08,0.11
