,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
335,Kyle MacLean,C,OSH,16.882,115.0,10.0,10.0,2.0,20.0,22.0,104.0,11.3,0.09,0.09,0.015,0.175,0.19,0.85,4.745,0.075,2.0,10.0,20.835,1.0,11.0,7.145,7.0,83.0,11.02,251.0,501.0,54.16
336,Kade Landry,D,BAR,16.871,62.0,1.0,8.0,13.0,9.0,22.0,82.0,0.615,0.01,0.065,0.105,0.075,0.18,1.165,2.18,0.05,0.0,2.0,0.0,0.0,5.0,0.0,1.0,75.0,0.675,0.0,0.0,0.0
337,Riley Damiani,C,KIT,16.49,62.0,9.0,7.0,6.0,16.0,22.0,95.0,9.47,0.15,0.11,0.1,0.26,0.35,1.53,8.94,0.14,3.0,17.0,17.65,1.0,16.0,6.25,5.0,62.0,8.06,207.0,465.0,44.52
338,Devon Paliani,C,SAR/SAG,18.93,65.0,6.0,8.0,8.0,14.0,22.0,100.0,6.0,0.09,0.12,0.12,0.22,0.34,1.54,10.59,0.16,1.0,10.0,10.0,3.0,21.0,14.29,2.0,69.0,2.9,32.0,66.0,48.48
339,Tyler Boston,C,NIAG/GUE,18.226,59.0,9.0,6.0,7.0,15.0,22.0,88.0,10.23,0.15,0.1,0.12,0.25,0.37,1.49,8.62,0.15,4.0,10.0,40.0,2.0,20.0,10.0,3.0,58.0,5.17,306.0,681.0,44.93
340,Cole Fraser,D,PBO,16.564,111.0,6.0,9.0,7.0,15.0,22.0,109.0,3.49,0.05,0.075,0.06,0.125,0.185,0.935,2.45,0.04,0.0,5.0,0.0,0.0,2.0,0.0,6.0,102.0,3.705,0.0,0.0,0.0
341,Ben Evans,LW,OTT,17.665,60.0,8.0,9.0,5.0,17.0,22.0,79.0,10.13,0.13,0.15,0.08,0.28,0.37,1.32,10.21,0.17,4.0,12.0,33.33,1.0,17.0,5.88,3.0,50.0,6.0,85.0,178.0,47.75
342,Ryan Verbeek,LW,KGN,19.286,63.0,9.0,7.0,6.0,16.0,22.0,141.0,6.38,0.14,0.11,0.1,0.25,0.35,2.24,15.08,0.24,2.0,23.0,8.7,3.0,22.0,13.64,4.0,96.0,4.17,201.0,439.0,45.79
343,Jacob  Graves,D,LDN/OSH,20.469,69.0,1.0,12.0,8.0,13.0,21.0,42.0,2.38,0.01,0.17,0.12,0.19,0.3,0.61,2.18,0.03,0.0,1.0,0.0,0.0,3.0,0.0,1.0,38.0,2.63,0.0,0.0,0.0
344,Nathan Billitier,D,KGN,19.822,114.0,5.0,7.0,9.0,12.0,21.0,115.0,3.91,0.045,0.06,0.08,0.1,0.18,0.99,3.255,0.055,3.0,3.0,100.0,0.0,6.0,0.0,2.0,106.0,1.41,3.0,4.0,83.335
