,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
247,Bobby Brink,F/C,SC,16.689,41,23,14,10,37,47,110,16.355,0.45,0.29,0.18,0.745,0.925,2.52
248,Henry Bowlby,C,LIN,19.05,109,22,15,10,37,47,172,12.055,0.205,0.14,0.09,0.345,0.435,1.585
249,Sam Sternschein,F,TC/CR/LIN,17.637,110,27,12,8,39,47,207,9.808,0.21,0.085,0.06,0.295,0.358,2.022
250,Robbie DeMontis,F,MUS,19.077,94,12,24,11,36,47,149,8.0,0.135,0.255,0.12,0.39,0.505,1.67
251,Jonathan Gruden,C,USA,16.867,59,21,15,11,36,47,109,18.62,0.39,0.275,0.21,0.66,0.87,1.92
252,Alex Turcotte,C,USA,17.05,39,14,19,13,33,46,83,20.19,0.505,0.585,0.3,1.09,1.39,2.36
253,Jack St. Ivany,RD/D,SF,17.652,106,7,23,16,30,46,149,4.01,0.065,0.215,0.15,0.28,0.43,1.395
254,Tom Marchin,F,MUS,18.955,56,23,16,7,39,46,160,14.37,0.41,0.29,0.12,0.7,0.82,2.86
255,Bailey Conger,RW,BLM/WAT,18.625,71,18,16,12,34,46,118,16.508,0.27,0.17,0.12,0.44,0.555,1.53
256,Corey Schueneman,D,MUS/DM,19.037,58,16,14,16,30,46,178,8.99,0.28,0.24,0.28,0.52,0.79,3.07
257,Marek Valach,LW,CR,19.662,62,20,16,10,36,46,177,6.37,0.19,0.235,0.215,0.425,0.645,2.51
258,Jack Suter,C,SF,19.909,98,16,19,11,35,46,158,8.41,0.14,0.165,0.105,0.305,0.415,1.525
259,Aaro Vidgren,LW,CHI,20.296,60,24,8,14,32,46,153,15.69,0.4,0.13,0.23,0.53,0.77,2.55
260,Adam Goodsir,C,TC,18.482,118,28,13,5,41,46,195,14.33,0.235,0.11,0.045,0.345,0.39,1.655
261,Wyatt Aamodt,LD,CHI/LIN,19.064,115,5,22,19,27,46,143,3.302,0.045,0.178,0.152,0.222,0.375,1.228
262,Sampo Ranta,LW,SC,16.793,83,29,12,5,41,46,236,12.935,0.315,0.13,0.055,0.445,0.5,2.535
263,Yushiroh Hirano,RW,YNG,20.077,54,24,11,11,35,46,153,15.69,0.44,0.2,0.2,0.65,0.85,2.83
264,Bobby Lynch,F,MUS,20.25,48,17,17,12,34,46,135,12.59,0.35,0.35,0.25,0.71,0.96,2.81
265,Logan Pietila,RW,DBQ,18.135,103,19,15,12,34,46,140,13.115,0.195,0.155,0.115,0.345,0.46,1.41
266,Brian Chambers,RW/F,CR/SF,19.646,73,19,14,12,33,45,71,24.355,0.24,0.18,0.165,0.415,0.585,0.96
267,Vladislav Firstov,F,WAT,17.241,47,21,19,5,40,45,106,19.81,0.45,0.4,0.11,0.85,0.96,2.26
268,Mason Palmer,LD/D,WAT,18.945,162,6,13,26,19,45,165,3.001,0.035,0.118,0.182,0.154,0.33,1.07
269,Austin Albrecht,LW,MUS/SF,20.34,57,10,20,15,30,45,150,6.67,0.18,0.35,0.26,0.53,0.79,2.63
270,Alex Stevens,D/RD,GB/SF/DBQ,18.798,112,12,19,14,31,45,158,5.56,0.082,0.128,0.108,0.205,0.312,1.138
271,Robert Herrman,F,GB,19.002,91,21,11,13,32,45,188,11.265,0.24,0.125,0.15,0.365,0.51,2.11
272,Ethan Somoza,LW,BLM,19.858,109,18,13,14,31,45,164,10.065,0.165,0.115,0.13,0.28,0.41,1.495
273,Matt Brown,LW,DBQ/DM,18.602,48,24,15,6,39,45,123,10.255,0.285,0.18,0.07,0.465,0.535,1.895
274,Ryder Rolston,C,USA,16.374,51,28,10,6,38,44,122,21.555,0.515,0.195,0.12,0.705,0.825,2.38
