"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","G/GP","A1/GP","A2/GP","P1/GP","P/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA"
"","Chandler Yakimowicz","RW","LDN","18.637","63","11","13","6","24","30","0.17","0.21","0.1","0.38","0.48","769.34","12.21","0.86","1.01","0.47","1.87","2.34","13.06","13.27","50.31","48.87","-5.36","50.0","43","43"
"","Niki Petti","C","BELV","18.089","66","16","8","5","24","29","0.24","0.12","0.08","0.36","0.44","856.73","12.98","1.12","0.56","0.35","1.68","2.03","15.03","14.13","50.55","49.88","3.06","51.16","44","42"
"","Graham Knott","LW","NIAG","17.67","59","16","8","5","24","29","0.27","0.14","0.08","0.41","0.49","716.62","12.15","1.34","0.67","0.42","2.01","2.43","13.58","13.69","52.45","50.35","-2.07","51.85","42","39"
"","Brent Pedersen","LW","OSH/KIT","19.198","69","14","10","4","24","28","0.2","0.14","0.06","0.35","0.41","856.04","12.41","0.98","0.7","0.28","1.68","1.96","14.38","13.93","57.32","50.41","-4.54","55.56","45","36"
"","Artem Artemov","RW","SAG","17.66","68","12","12","2","24","26","0.18","0.18","0.03","0.35","0.38","814.58","11.98","0.88","0.88","0.15","1.77","1.92","13.92","13.74","43.96","51.34","2.81","44.94","40","49"
"","Chris Marchese","RW","WSR/GUE","20.559","49","12","11","14","23","37","0.24","0.22","0.29","0.47","0.76","738.81","15.08","0.97","0.89","1.14","1.87","3.0","14.54","14.13","48.29","52.64","3.75","48.96","47","49"
"","Garrett  Hooey","C","BAR","20.288","68","13","10","12","23","35","0.19","0.15","0.18","0.34","0.51","822.84","12.1","0.95","0.73","0.88","1.68","2.55","13.39","13.77","54.24","48.99","4.19","55.68","49","39"
"","Anthony Cirelli","C","OSH","17.169","68","11","12","10","23","33","0.16","0.18","0.15","0.34","0.49","827.63","12.17","0.8","0.87","0.72","1.67","2.39","13.92","13.83","66.44","46.75","5.61","71.79","56","22"
"","Juho Lammikko","C","KGN","18.629","64","11","12","8","23","31","0.17","0.19","0.12","0.36","0.48","879.99","13.75","0.75","0.82","0.55","1.57","2.11","15.79","14.02","51.56","51.09","25.17","67.09","53","26"
"","Nathan Todd","C","OTT","18.788","63","9","14","8","23","31","0.14","0.22","0.13","0.37","0.49","794.56","12.61","0.68","1.06","0.6","1.74","2.34","14.59","13.68","49.53","50.05","13.93","59.26","48","33"
