,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,FOW,FOT,FOW%
150,James Melindy,D,MON,18.262,128,13,11,27,24,51,172,8.06,0.105,0.085,0.215,0.19,0.4,1.34,0,1,0.0
151,Sean Girard,D,BAT,18.935,124,6,22,23,28,51,253,2.555,0.05,0.18,0.185,0.23,0.415,2.05,0,1,0.0
152,Justin Hache,D,SHA/CAP,18.18,128,9,17,25,26,51,136,6.24,0.065,0.13,0.195,0.195,0.395,1.055,6,7,42.855
153,Pierre-Olivier Morin,LW,SHA,20.397,66,20,20,10,40,50,184,10.87,0.3,0.3,0.15,0.61,0.76,2.79,413,806,51.24
154,Jeremie Blain,D,VIC/BAT,19.491,58,9,15,26,24,50,121,7.44,0.16,0.26,0.45,0.41,0.86,2.09,0,0,0.0
155,Cameron Critchlow,LW,HAL,19.743,68,21,16,13,37,50,156,13.46,0.31,0.24,0.19,0.54,0.74,2.29,247,441,56.01
156,Liam O'Brien,LW,RIM/ROU,17.632,132,20,20,10,40,50,202,10.0,0.15,0.15,0.075,0.3,0.38,1.535,49,104,48.84
157,Troy Vance,D,VIC/PEI,18.62,124,8,20,22,28,50,202,4.075,0.065,0.165,0.18,0.23,0.405,1.615,0,0,0.0
158,Guillaume Gauthier,LW,RIM/DRU,16.51,116,25,14,11,39,50,177,13.845,0.215,0.12,0.095,0.33,0.425,1.52,295,686,44.07
159,Jonathan Oligny,D,DRU/CAP,20.091,130,9,26,15,35,50,224,4.005,0.07,0.2,0.115,0.27,0.385,1.725,0,0,0.0
160,Martin Reway,LW,GAT,17.643,47,22,14,14,36,50,129,17.05,0.47,0.3,0.3,0.77,1.06,2.74,48,92,52.17
161,Samuel Noreau,D,BAC,19.122,124,12,23,14,35,49,268,4.83,0.1,0.185,0.11,0.28,0.385,2.12,0,0,0.0
162,Etienne Brodeur,LW,CHI,20.518,63,22,14,13,36,49,197,11.17,0.35,0.22,0.21,0.57,0.78,3.13,24,46,52.17
163,Raphael Pouliot,LW,BLB,20.417,66,24,15,10,39,49,167,14.37,0.36,0.23,0.15,0.59,0.74,2.53,31,79,39.24
164,Matt Murphy,D,VDO/HAL,16.876,130,5,20,24,25,49,124,4.31,0.04,0.15,0.18,0.19,0.37,0.95,0,0,0.0
165,Alex Emond,C,RIM/DRU,19.998,63,23,14,11,37,48,164,14.02,0.37,0.22,0.17,0.59,0.76,2.6,834,1460,57.12
166,Aidan Kelly,RW,SNB/BAT,19.08,112,12,18,17,30,47,119,9.52,0.105,0.16,0.15,0.26,0.405,1.055,119,219,55.975
167,Jakub Culek,LW,RIM/CAP,19.521,64,17,18,12,35,47,163,12.435,0.34,0.21,0.2,0.555,0.755,2.69,144,320,59.81
168,Andrew O'Brien,D,CHI/ROU,19.316,135,10,17,20,27,47,245,3.835,0.075,0.125,0.15,0.2,0.35,1.815,1,4,12.5
169,Alec Jon Banville,LW,BAT/BAC,17.925,123,20,17,10,37,47,243,8.31,0.16,0.14,0.085,0.3,0.385,1.97,60,127,25.64
170,Samuel Hodhod,LW,BLB,18.084,75,21,13,13,34,47,118,18.08,0.31,0.18,0.165,0.49,0.65,1.705,193,481,35.36
171,Patrik Zdrahal,RW,BAT,17.438,64,20,14,13,34,47,134,14.93,0.31,0.22,0.2,0.53,0.73,2.09,9,19,47.37
172,Gabriel Vermette,D,CHI/DRU,20.156,133,10,14,21,24,45,131,7.705,0.075,0.105,0.16,0.18,0.34,0.98,2,5,41.665
173,Francois Godin,D,VIC/BAT,19.097,105,6,22,16,28,44,134,5.165,0.055,0.2,0.13,0.255,0.385,1.175,0,0,0.0
174,Jessyko Bernard,RW,ROU/PEI,20.43,55,17,10,17,27,44,100,17.0,0.31,0.18,0.31,0.49,0.8,1.82,110,228,48.25
175,Olivier Picard,D,BLB,18.941,122,7,16,21,23,44,180,4.05,0.06,0.13,0.17,0.185,0.36,1.475,0,1,0.0
176,Patrick Delisle-Houde,LW,MON,20.085,63,15,19,10,34,44,122,12.3,0.24,0.3,0.16,0.54,0.7,1.94,107,211,50.71
177,Ryan Penny,C,MON,17.517,124,31,9,4,40,44,217,13.98,0.245,0.07,0.03,0.315,0.345,1.74,633,1410,44.89
178,MacKenzie Weegar,D,HAL,18.689,62,8,21,15,29,44,116,6.9,0.13,0.34,0.24,0.47,0.71,1.87,1,6,16.67
179,Stephen Anderson,RW,SNB,17.23,89,18,7,18,25,43,167,11.205,0.21,0.08,0.235,0.29,0.525,1.875,291,583,55.03
180,Mikael Tam,D,QUE,20.389,68,15,19,9,34,43,200,7.5,0.22,0.28,0.13,0.5,0.63,2.94,0,0,0.0
181,Erik Robichaud,C,MON/PEI,18.922,124,15,19,9,34,43,148,10.415,0.12,0.145,0.065,0.27,0.335,1.185,747,1524,49.17
182,Trey Lewis,D,HAL,18.793,125,10,20,13,30,43,181,5.53,0.08,0.16,0.11,0.24,0.345,1.455,1,5,25.0
183,Oliver Cooper,LW,SNB,16.972,127,17,14,12,31,43,169,12.305,0.135,0.11,0.095,0.245,0.34,1.31,69,157,46.43
184,Raphael Corriveau,RW,QUE/CAP,17.846,117,18,14,11,32,43,191,12.335,0.16,0.115,0.095,0.27,0.36,1.585,8,28,23.75
