,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
505,Daven Castonguay,D,BLB,17.32,23,2,1,0,3,3,12,16.67,0.09,0.04,0.0,0.13,0.13,0.52,0.25,0.01,351.37,15.28,0.34,0.17,0.0,0.51,0.51,2.05,0.04,16.24,17.54,46.89,51.75,-24.95,27.27,6,16,0,0,0.0,0,0,0.0,2,12,16.67,0,0,0.0
506,Johnny Foley,RW,CHA,17.427,14,2,1,0,3,3,15,13.33,0.14,0.07,0.0,0.21,0.21,1.07,0.85,0.06,145.67,10.41,0.82,0.41,0.0,1.24,1.24,6.18,0.35,16.39,16.81,45.22,46.76,-0.65,50.0,4,4,1,1,100.0,1,1,100.0,0,13,0.0,1,2,50.0
507,Alexandre Bernier,D,SNB,18.306,27,0,0,3,0,3,41,0.0,0.0,0.0,0.11,0.0,0.11,1.52,1.35,0.05,389.43,14.42,0.0,0.0,0.46,0.0,0.46,6.32,0.21,17.12,17.4,53.5,50.53,-19.43,40.0,12,18,0,0,0.0,0,1,0.0,0,40,0.0,0,1,0.0
508,Jonathan Duchesne,D,CHA,19.59,41,0,0,3,0,3,30,0.0,0.0,0.0,0.07,0.0,0.07,0.73,0.74,0.02,669.95,16.34,0.0,0.0,0.27,0.0,0.27,2.69,0.07,17.74,17.9,50.48,53.61,-11.54,38.46,25,40,0,0,0.0,0,0,0.0,0,30,0.0,1,1,100.0
509,Simon Benoit,D,SHA,16.989,55,1,0,2,1,3,36,2.78,0.02,0.0,0.04,0.02,0.05,0.65,0.87,0.02,778.95,14.16,0.08,0.0,0.15,0.08,0.23,2.77,0.07,17.04,17.54,53.68,52.77,-19.51,38.1,24,39,0,0,0.0,0,0,0.0,1,36,2.78,0,0,0.0
510,Quintin Lisoway,C,BAT,19.842,20,2,0,1,2,3,29,6.9,0.1,0.0,0.05,0.1,0.15,1.45,2.91,0.15,240.27,12.01,0.5,0.0,0.25,0.5,0.75,7.24,0.73,18.08,17.23,45.02,54.06,-17.06,33.33,7,14,0,1,0.0,0,3,0.0,2,25,8.0,113,189,59.79
511,Mikael Robidoux,RW,QUE,16.414,34,2,0,1,2,3,11,18.18,0.06,0.0,0.03,0.06,0.09,0.32,1.3,0.04,308.77,9.08,0.39,0.0,0.19,0.39,0.58,2.14,0.25,16.53,16.59,39.26,50.58,-9.48,38.46,5,8,1,2,50.0,0,1,0.0,1,8,12.5,0,2,0.0
512,Ryan McReynolds,RW,QUE,18.191,24,2,0,1,2,3,19,10.53,0.08,0.0,0.04,0.08,0.12,0.79,1.57,0.07,224.45,9.35,0.53,0.0,0.27,0.53,0.8,5.08,0.42,16.13,17.01,40.44,50.58,-9.08,40.0,4,6,0,1,0.0,1,2,50.0,1,16,6.25,1,1,100.0
513,Nicholas Cardone,C,CHI,16.378,16,0,2,1,2,3,1,0.0,0.0,0.12,0.06,0.12,0.19,0.06,0.01,0.0,145.95,9.12,0.0,0.82,0.41,0.82,1.23,0.41,0.01,16.58,17.2,42.94,45.75,8.96,62.5,5,3,0,0,0.0,0,0,0.0,0,1,0.0,4,16,25.0
514,Louis-Charles Lemay,C,CHI,17.506,26,1,1,1,2,3,14,7.14,0.04,0.04,0.04,0.08,0.12,0.54,1.6,0.06,263.27,10.13,0.23,0.23,0.23,0.46,0.68,3.19,0.36,17.06,17.2,48.49,50.31,-21.22,33.33,5,10,1,2,50.0,0,2,0.0,0,10,0.0,26,65,40.0
515,Jean-Christoph Thivierge,D,DRU,18.141,34,0,1,2,1,3,19,0.0,0.0,0.03,0.06,0.03,0.09,0.56,0.67,0.02,427.27,12.57,0.0,0.14,0.28,0.14,0.42,2.67,0.09,17.03,17.04,43.29,55.19,3.93,39.13,9,14,0,0,0.0,0,0,0.0,0,19,0.0,0,0,0.0
516,Eric Theander,RW,DRU,18.484,23,1,1,1,2,3,14,7.14,0.04,0.04,0.04,0.09,0.13,0.61,1.5,0.07,247.21,10.75,0.24,0.24,0.24,0.49,0.73,3.4,0.36,17.69,17.76,38.63,53.74,-8.46,33.33,6,12,0,2,0.0,0,0,0.0,1,12,8.33,0,6,0.0
517,Adam Cheezo,RW,VDO,16.868,28,1,1,1,2,3,25,4.0,0.04,0.04,0.04,0.07,0.11,0.89,3.29,0.12,275.2,9.83,0.22,0.22,0.22,0.44,0.65,5.45,0.72,16.22,17.17,58.43,52.44,11.67,60.0,9,6,1,6,16.67,0,3,0.0,0,16,0.0,51,142,35.92
