,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
410,Ryan Littlejohn,LW,FLNT,17.094,107,4,5,5,9,14,47,8.115,0.035,0.04,0.04,0.08,0.12,0.42,2.54,0.045,3,11,29.165,0,10,0.0,1,26,2.63,5,15,17.855
411,Brandon Prophet,D,PBO,20.285,60,1,5,8,6,14,80,1.25,0.02,0.08,0.13,0.1,0.23,1.33,3.43,0.06,1,3,33.33,0,0,0.0,0,77,0.0,0,0,0.0
412,William Ennis,D,OSH,16.793,114,1,3,10,4,14,56,1.19,0.01,0.03,0.08,0.035,0.115,0.465,1.065,0.02,0,1,0.0,0,1,0.0,1,54,1.22,0,1,0.0
413,Connor Hall,D,KIT,19.066,64,1,10,3,11,14,70,3.125,0.03,0.125,0.05,0.155,0.205,1.045,1.445,0.045,0,2,0.0,0,3,0.0,1,65,3.845,0,0,0.0
414,Ryan Martin,D,ER,17.757,87,2,3,9,5,14,52,2.565,0.02,0.03,0.09,0.045,0.14,0.56,1.425,0.03,0,3,0.0,1,5,10.0,1,44,1.615,0,0,0.0
415,Nathan Billitier,D,KGN,20.323,61,4,6,4,10,14,77,5.19,0.07,0.1,0.07,0.16,0.23,1.26,4.37,0.07,2,2,100.0,0,4,0.0,2,71,2.82,1,1,100.0
416,Cole MacKay,RW,SSM,16.258,42,5,4,5,9,14,50,10.0,0.12,0.1,0.12,0.21,0.33,1.19,5.22,0.12,3,11,27.27,1,7,14.29,1,32,3.12,3,11,27.27
417,Nicholas Porco,LW,SAG,16.512,57,5,4,5,9,14,82,6.1,0.09,0.07,0.09,0.16,0.25,1.44,7.87,0.14,2,11,18.18,0,12,0.0,3,59,5.08,10,23,43.48
418,Stephane Patry,C,ER,17.575,50,5,6,3,11,14,44,11.36,0.1,0.12,0.06,0.22,0.28,0.88,3.84,0.08,1,1,100.0,1,10,10.0,3,33,9.09,98,242,40.5
419,Lev Starikov,D,WSR,16.994,66,5,3,5,8,13,81,6.17,0.08,0.05,0.08,0.12,0.2,1.23,3.55,0.05,0,3,0.0,2,4,50.0,3,74,4.05,0,0,0.0
420,Shane Collins,D,LDN,20.567,58,3,4,6,7,13,76,3.95,0.05,0.07,0.1,0.12,0.22,1.31,4.02,0.07,0,1,0.0,1,5,20.0,2,70,2.86,1,1,100.0
421,Emmett Sproule,C,ER,16.493,56,5,6,2,11,13,47,10.64,0.09,0.11,0.04,0.2,0.23,0.84,4.98,0.09,0,9,0.0,1,6,16.67,4,32,12.5,1,13,7.69
422,Mason Primeau,C,GUE,16.134,60,7,4,2,11,13,55,12.73,0.12,0.07,0.03,0.18,0.22,0.92,5.21,0.09,1,8,12.5,3,9,33.33,3,38,7.89,91,207,43.96
423,Alex Turko,C,LDN,18.19,64,3,7,3,10,13,49,3.75,0.03,0.105,0.03,0.135,0.16,0.82,2.475,0.085,1,11,5.0,1,6,16.665,1,32,1.85,233,444,46.575
424,Rhys Forhan,C,NB,17.162,82,3,7,3,10,13,65,5.385,0.04,0.09,0.035,0.12,0.16,0.815,3.39,0.085,2,14,14.585,0,10,0.0,1,41,3.335,115,303,38.775
425,Dawson Baker,RW,SBY,16.932,71,6,5,2,11,13,85,3.845,0.05,0.04,0.015,0.09,0.105,0.99,4.16,0.105,0,12,0.0,1,14,3.845,5,59,4.545,68,173,19.765
426,Mitchell Byrne,D,ER/KGN/ER,19.036,110,3,6,4,9,13,72,4.1,0.025,0.05,0.04,0.08,0.115,0.64,2.15,0.04,2,5,62.5,0,2,0.0,1,65,1.22,0,1,0.0
427,Josh Coyle,C,PBO,19.138,63,11,1,1,12,13,88,12.5,0.17,0.02,0.02,0.19,0.21,1.4,9.96,0.16,3,14,21.43,3,24,12.5,5,50,10.0,264,463,57.02
428,Zach Wilkie,D,SBY,19.557,53,3,9,1,12,13,94,3.19,0.06,0.17,0.02,0.23,0.25,1.77,4.74,0.09,0,4,0.0,0,6,0.0,3,84,3.57,0,1,0.0
429,Ben Garagan,C,HAM/SBY/HAM,18.192,95,2,6,5,8,13,81,2.515,0.02,0.065,0.05,0.085,0.135,0.85,4.31,0.09,2,17,12.145,0,11,0.0,0,53,0.0,156,385,39.375
430,Scoley Dow,LW,MISS,17.347,46,5,4,3,9,12,35,14.29,0.11,0.09,0.07,0.2,0.26,0.76,2.98,0.06,0,1,0.0,2,7,28.57,3,27,11.11,6,10,60.0
431,Quinn Yule,LW,OTT,17.192,61,6,4,2,10,12,55,5.555,0.05,0.035,0.015,0.085,0.1,0.95,2.245,0.04,1,7,7.145,3,8,18.75,2,40,2.565,1,7,7.145
432,Nathan Staios,D,WSR,16.332,54,3,4,5,7,12,62,4.84,0.06,0.07,0.09,0.13,0.22,1.15,2.72,0.05,0,1,0.0,0,2,0.0,3,59,5.08,0,0,0.0
