,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
577,Daniel Robertson,D,WSR/OSH,19.283,53,1,6,2,7,9,62,1.61,0.02,0.11,0.04,0.13,0.17,1.17,3.29,0.06,0,1,0.0,0,3,0.0,1,58,1.72,0,0,0.0
578,Ben Fanjoy,C,OTT,19.352,24,5,2,2,7,9,38,13.16,0.21,0.08,0.08,0.29,0.38,1.58,5.3,0.22,2,8,25.0,2,7,28.57,1,23,4.35,60,120,50.0
579,Cameron Tolnai,C,OTT,16.584,48,2,3,4,5,9,46,4.35,0.04,0.06,0.08,0.1,0.19,0.96,4.48,0.09,0,10,0.0,1,9,11.11,1,27,3.7,222,445,49.89
580,Jake Gravelle,D,MISS/HAM/HAM,11.916,62,2,3,4,5,9,68,0.997,0.013,0.02,0.027,0.03,0.057,0.457,0.767,0.013,0,1,0.0,0,0,0.0,2,67,1.01,0,2,0.0
581,Sam Field,RW,KGN,38.224000000000004,59,6,1,2,7,9,63,28.59,0.38,0.02,0.04,0.39999999999999997,0.44999999999999996,2.34,6.05,0.25,3,8,75.0,2,13,36.11,1,42,9.09,15,47,81.11
582,Damian Bourne,LW,MISS,20.595,27,3,5,1,8,9,49,6.12,0.11,0.19,0.04,0.3,0.33,1.81,6.35,0.24,0,5,0.0,1,12,8.33,2,32,6.25,1,2,50.0
583,Jake Bricknell,RW,GUE,19.171,26,5,2,2,7,9,40,12.5,0.19,0.08,0.08,0.27,0.35,1.54,3.09,0.12,1,1,100.0,2,7,28.57,2,32,6.25,4,9,44.44
584,Dylan Robinson,LW/D,OSH/WSR,10.859,35,2,2,4,4,8,31,2.15,0.02,0.12,0.04,0.14,0.183,0.323,0.873,0.027,1,4,8.333,1,3,11.11,0,24,0.0,71,182,13.003
585,Stephen Templeton,D,HAM/OSH/HAM,40.272,70,2,2,4,4,8,63,3.64,0.03,0.03,0.07,0.07,0.14,1.62,3.4899999999999998,0.1,0,2,0.0,0,5,0.0,2,56,4.0,0,1,0.0
586,Marcus Gretz,D,FLNT,10.876,67,1,3,4,4,8,46,1.19,0.007,0.03,0.053,0.04,0.09,0.48,0.7,0.02,0,2,0.0,0,2,0.0,1,42,1.283,0,0,0.0
