"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","G/GP","A1/GP","A2/GP","P1/GP","P/GP"
"","Kevin  Spinozzi","D","SAR","18.314","67","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Jordan Kyrou","RW","SAR","16.364","63","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Ryan Vendramin","LW","SAR","19.368","7","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Nikita Korostelev","RW","SAR","17.599","55","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Kyle Rhodes","D","GUE","16.723","59","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Noah Carroll","D","GUE","16.786","62","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Ben Harpur","D","BAR/GUE","19.675","57","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Austin Hall","D","GUE","17.438","37","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Jesse Hilton","D","GUE","16.893","36","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Adam Craievich","RW","OTT/GUE","17.353","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Tyler Boston","C","GUE","17.227","55","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Marc Stevens","C","GUE","18.541","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Tyler Bertuzzi","LW","GUE","19.557","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Stephen Pierog","C","GUE/SAR","20.274","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","James McEwan","C","GUE","17.503","45","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Pius  Suter","LW","GUE","18.311","61","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Matt Hotchkiss","LW","GUE","16.605","63","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Chadd Bauman","D","BAR/GUE","19.105","63","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Garrett McFadden","D","GUE","17.068","56","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Aleks Rapp","RW","GUE","17.509","35","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Brett Gustavsen","LW","BELV","20.51","67","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Jake Marchment","C","ER/BELV","19.324","51","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Michael Cramarossa","LW","BELV","18.311","65","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Remi Elie","LW","ER/BELV","19.417","63","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Stephen Harper","C","BELV","19.477","62","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Jordan Subban","D","BELV","19.538","63","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Brandon Saigeon","C","BELV","16.255","62","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Chad Heffernan","LW","BELV/SBY","18.484","56","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Adam Laishram","C","BELV","17.438","56","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Cole Candella","D","BELV","16.586","60","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Jack Hanley","D","BELV","16.406","45","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Niki Petti","C","BELV","18.089","66","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Alex Yuill","D","BELV","19.305","67","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Matt Luff","RW","BELV","17.364","64","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Jake Bricknell","RW","BELV","17.169","58","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Maurizio Colella","LW","BELV","17.487","57","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Doug Blaisdell","D","KIT","17.566","66","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Justin  Bailey","RW","SSM/KIT","19.209","57","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Kevin Klima","LW","LDN","17.279","16","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Benjamin Gleason","D","LDN","16.477","41","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Christian  Dvorak","C","LDN","18.618","66","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Owen MacDonald","C","LDN","18.311","60","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Brandon Crawley","D","LDN","17.616","64","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Chandler Yakimowicz","RW","LDN","18.637","63","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Drake Rymsha","C","LDN","16.11","62","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Tait Seguin","LW","LDN","19.488","47","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Sam Babintsev","RW","MISS","19.937","54","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Bryson Cianfrone","C","MISS","19.584","63","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Damian Bourne","LW","MISS","18.593","55","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Brandon Devlin","D","MISS","20.386","66","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Nick Zottl","D","MISS","19.677","45","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Lucas Venuto","RW","WSR/MISS","20.43","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Jesse Barwell","LW","MISS/SAG","17.356","63","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Stephan Seeger","LW","OSH","18.579","1","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Trenton Bourque","D","SBY","16.263","34","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Austin Clapham","D","SBY","17.186","56","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Jeff Corbett","D","SBY","19.987","65","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Danny Desrochers","LW","SBY","19.067","66","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Brady Pataki","RW","SBY","15.951","58","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Michael Pezzetta","C","SBY","16.51","61","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
