,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
415,Sandis Zolmanis,C,DM,19.072,7,0,1,0,1,1,10,0.0,0.0,0.14,0.0,0.14,0.14,1.43
416,Isaac Theisen,F,USA,17.424,3,0,1,0,1,1,0,0.0,0.0,0.33,0.0,0.33,0.33,0.0
417,Connor Moore,D,YNG,16.2,1,1,0,0,1,1,1,100.0,1.0,0.0,0.0,1.0,1.0,1.0
418,Jake Ahlgren,F,SF,18.171,2,0,1,0,1,1,1,0.0,0.0,0.5,0.0,0.5,0.5,0.5
419,Bryan Sienerth,F,SF,17.624,5,1,0,0,1,1,7,14.29,0.2,0.0,0.0,0.2,0.2,1.4
420,Mitch Snyder,F,GB,19.579,19,0,1,0,1,1,28,0.0,0.0,0.05,0.0,0.05,0.05,1.47
421,CJ Yakimowicz,F,USA,17.638,4,0,1,0,1,1,3,0.0,0.0,0.25,0.0,0.25,0.25,0.75
422,Patrick Hannan,F,SC,18.24,14,0,1,0,1,1,6,0.0,0.0,0.07,0.0,0.07,0.07,0.43
423,Cameron Smith,F,YNG,16.408,13,1,0,0,1,1,1,100.0,0.08,0.0,0.0,0.08,0.08,0.08
424,Matthew Freytag,F,TC,16.581,8,0,1,0,1,1,6,0.0,0.0,0.12,0.0,0.12,0.12,0.75
425,Nicky Wolff,D,DM,17.153,9,1,0,0,1,1,16,6.25,0.11,0.0,0.0,0.11,0.11,1.78
426,Ty Pelton-Byce,F,MUS,16.422,2,0,1,0,1,1,0,0.0,0.0,0.5,0.0,0.5,0.5,0.0
427,Cooper Watson,D,WAT,17.41,23,0,1,0,1,1,13,0.0,0.0,0.04,0.0,0.04,0.04,0.57
428,Matthew Goeree,F,DM,16.244,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0
429,Collin Peters,RW,MUS,16.608,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
430,Jacob Wilson,D,IND,16.548,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
431,Kevin Conley,LW,YNG,16.575,2,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,2.0
432,Christian Meike,D,SC,17.646,4,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.25
433,Tanner Laczynski,F,CHI,16.291,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
434,Carson Vance,LD,YNG,17.681,5,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
435,Erik Foley,F,CR,16.211,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
436,Sam McCormick,F,SC,16.567,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
437,Tom Novak,F,USA,16.384,2,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,2.0
438,Zac Goodrich,D,MUS,17.566,5,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.4
439,Cal Burke,F,CR,16.493,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,Mike Lee,D,TC,17.391,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
441,Jacob Olson,D,SC,16.608,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442,Michael Davies,LD,DBQ,16.636,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,Adam Parsells,LD,GB,16.698,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
444,Ethan Spaxman,D,FGO,16.8,2,0,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,3.0
445,Michael Joyaux,RD,TC,16.586,3,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
446,Jason Krych,D,TC,16.427,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447,Nick Kunin,F,IND,17.46,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
448,Shawn Brennan,D,YNG,17.503,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
449,Vas Kolias,D,IND,16.6,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,Chase Pearson,F,YNG,16.063,2,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.5
451,Will Garin,RW,TC,15.877,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
452,Carson Gicewicz,F,YNG,16.534,3,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.33
453,Mitch Slattery,F,IND,17.405,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
454,Logan Von Ruden,D,CR,17.38,19,0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.53
455,Mitchell Smith,F,DBQ,17.049,3,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.33
456,Evan Smith,F,DBQ,17.049,3,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.67
457,Alec Mehr,F,TC,16.677,2,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.5
458,Ben Newhouse,D,WAT,16.249,3,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.67
