,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
105,Dale Mitchell,RW,OSH,16.436,65.0,20.0,13.0,10.0,33.0,43.0,0.31,0.2,0.15,0.51,0.66
106,Oskar Osala,LW,MISS,17.722,68.0,17.0,15.0,11.0,32.0,43.0,0.25,0.22,0.16,0.47,0.63
107,Justin Dacosta,D,MISS,20.351,57.0,10.0,17.0,15.0,27.0,42.0,0.18,0.3,0.26,0.47,0.74
108,Ryan Kitchen,RW,SSM,20.605,67.0,16.0,13.0,13.0,29.0,42.0,0.24,0.19,0.19,0.43,0.63
109,Jamie Fraser,D,SAR,19.828,65.0,16.0,13.0,13.0,29.0,42.0,0.25,0.2,0.2,0.45,0.65
110,Jason Pitton,LW,GUE/SSM,19.316,68.0,28.0,6.0,8.0,34.0,42.0,0.41,0.09,0.12,0.5,0.62
111,Jadran Beljo,LW,MISS,18.555,55.0,12.0,13.0,16.0,25.0,41.0,0.22,0.24,0.29,0.45,0.75
112,Cody Bass,C,MISS,18.689,67.0,16.0,13.0,12.0,29.0,41.0,0.24,0.19,0.18,0.43,0.61
113,Jared Boll,RW,PLY,19.343,65.0,19.0,15.0,7.0,34.0,41.0,0.29,0.23,0.11,0.52,0.63
114,Matt Beleskey,LW,BELV,17.273,61.0,20.0,7.0,13.0,27.0,40.0,0.33,0.11,0.21,0.44,0.66
115,David Kuchejda,RW,SSM,18.262,67.0,19.0,11.0,10.0,30.0,40.0,0.28,0.16,0.15,0.45,0.6
116,Ryan Berard,RW,SAG/BELV,18.44,69.0,12.0,16.0,12.0,28.0,40.0,0.17,0.23,0.17,0.41,0.58
117,Andrew Fournier,C,PLY,17.862,67.0,23.0,11.0,5.0,34.0,39.0,0.34,0.16,0.07,0.51,0.58
118,Ben Shutron,D,KGN,17.254,67.0,10.0,14.0,15.0,24.0,39.0,0.15,0.21,0.22,0.36,0.58
119,Ryan McInerney,C,SAR/SSM,17.293,56.0,16.0,14.0,9.0,30.0,39.0,0.29,0.25,0.16,0.54,0.7
120,Greg Stewart,LW,PBO,19.321,60.0,24.0,9.0,6.0,33.0,39.0,0.4,0.15,0.1,0.55,0.65
121,Nick Tuzzolino,D,SBY/SAR,19.655,63.0,10.0,13.0,15.0,23.0,38.0,0.16,0.21,0.24,0.37,0.6
122,Dustin Jeffrey,C,MISS/SSM,17.55,69.0,18.0,11.0,9.0,29.0,38.0,0.26,0.16,0.13,0.42,0.55
