,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
1084,Scott Scherger,D,SPO/LET,19.163,65,2,1,2,3,5,0.03,0.02,0.03,0.05,0.08
1085,Preston Mosewich,LW,P.A/REG,17.405,59,1,0,4,1,5,0.005,0.0,0.018,0.005,0.022
1086,Curt Gogol,LW,KEL,16.485,64,1,3,1,4,5,0.01,0.025,0.01,0.03,0.04
1087,Jan Zapletal,D,REG,18.07,55,3,0,2,3,5,0.05,0.0,0.04,0.05,0.09
1088,Dan Watt,LW,SAS/TRI,17.824,54,2,2,1,4,5,0.088,0.012,0.005,0.1,0.108
1089,Adam Houle,LW,SAS,18.615,26,0,2,3,2,5,0.0,0.08,0.12,0.08,0.19
1090,Kenton Miller,C,SPO,17.597,47,3,0,2,3,5,0.06,0.0,0.04,0.06,0.11
1091,Cam Stevens,D,CWK/LET/T.C,18.566,85,2,2,1,4,5,0.03,0.055,0.005,0.085,0.09
1092,Thomas Carr,D,M.H,18.667,45,0,3,2,3,5,0.0,0.07,0.04,0.07,0.11
1093,JT Barnett,RW,VAN,16.069,38,1,3,1,4,5,0.03,0.08,0.03,0.11,0.13
1094,Erik Fleming,D,SEA,16.093,52,2,1,2,3,5,0.02,0.25,0.26,0.27,0.53
1095,Matt Cumming,D,P.G,16.356,86,0,3,2,3,5,0.0,0.035,0.02,0.035,0.055
1096,Kurt Torbohm,D,KAM,17.806,99,0,2,3,2,5,0.0,0.018,0.025,0.018,0.042
1097,Alex Theriau,D,LET/EVT,16.085,59,1,2,2,3,5,0.01,0.02,0.02,0.025,0.045
1098,Martin Stepan,LW,CGY,17.495,18,3,1,0,4,4,0.17,0.06,0.0,0.22,0.22
1099,Justin Slobozian,D,REG,16.145,42,0,4,0,4,4,0.0,0.05,0.0,0.05,0.05
1100,Colin Smith,C,KAM,15.239,8,0,3,1,3,4,0.0,0.38,0.12,0.38,0.5
1101,Jamie Crooks,LW,SAS,16.688,8,1,0,3,1,4,0.12,0.0,0.38,0.12,0.5
1102,Taylor Sutherlin,D,POR/SPO,18.468,51,1,3,0,4,4,0.01,0.03,0.0,0.04,0.04
1103,Connor Cox,D,M.J,16.162,38,1,1,2,2,4,0.03,0.03,0.05,0.05,0.11
1104,Tyler Skauge,RW,EVT,17.462,52,1,3,0,4,4,0.02,0.06,0.0,0.08,0.08
1105,Mark Reners,RW,LET,15.896,7,2,1,1,3,4,0.29,0.14,0.14,0.43,0.57
1106,Cameron Abney,RW,EVT,16.816,52,1,2,1,3,4,0.01,0.02,0.01,0.03,0.04
1107,Tyler Harder,D,BRN/CGY,17.755,58,0,1,3,1,4,0.0,0.015,0.035,0.015,0.05
1108,Paul Sohor,D,EVT,17.15,49,0,1,3,1,4,0.0,0.01,0.035,0.01,0.045
1109,James Martin,D,S.C/KTN,16.8,58,0,3,1,3,4,0.0,0.025,0.01,0.025,0.035
1110,Matt Wray,RW,KAM,18.314,46,3,1,0,4,4,0.035,0.01,0.0,0.045,0.045
1111,Corbin Baldwin,D,SPO,17.61,42,0,1,3,1,4,0.0,0.02,0.07,0.02,0.1
1112,Cody Chikie,C,SAS,16.247,15,0,2,2,2,4,0.0,0.075,0.075,0.075,0.155
1113,Marek Knebl,C,S.C,17.156,44,3,0,1,3,4,0.07,0.0,0.02,0.07,0.09
1114,Jesse Pearson,D,EDM,17.512,35,1,2,1,3,4,0.03,0.06,0.03,0.09,0.11
1115,Nick Dietrich,RW,LET/POR,18.812,71,1,1,2,2,4,0.01,0.01,0.015,0.015,0.03
1116,Steve Oursov,C,SEA/R.D,16.584,32,4,0,0,4,4,0.07,0.0,0.0,0.07,0.07
1117,Matthew Brusciano,LW,KEL,18.02,44,1,2,1,3,4,0.035,0.05,0.015,0.085,0.105
1118,Nick Buonassisi,C,P.G,15.885,70,3,1,0,4,4,0.14,0.01,0.0,0.15,0.15
1119,Matt Fetzner,D,POR/SAS,19.409,63,1,2,1,3,4,0.02,0.03,0.02,0.05,0.06
1120,Derek Lewis,D,M.H/EVT,18.932,44,1,3,0,4,4,0.008,0.018,0.0,0.025,0.025
1121,Chris Collins,LW,CWK,15.91,6,2,1,1,3,4,0.25,0.125,0.25,0.375,0.625
1122,Jonathon Smith,D,RDR,17.906,45,1,0,3,1,4,0.02,0.0,0.07,0.02,0.09
1123,Spencer Fraipont,D,REG/KAM,18.684,86,1,2,1,3,4,0.01,0.02,0.01,0.03,0.04
