,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
327,Liam Stevens,LW,HAM,19.398,57,5,2,3,7,10,57,8.77,0.09,0.04,0.05,0.12,0.18,1.0,5.07,0.09,0,9,0.0,2,10,20.0,3,38,7.89,13,19,68.42
328,Lucas Rowe,RW,FLNT/KGN/LDN,17.09,46,2,5,3,7,10,52,3.85,0.04,0.11,0.07,0.15,0.22,1.13,4.04,0.09,0,9,0.0,1,6,16.67,1,37,2.7,102,278,36.69
329,Ryan Bangs,D,FLNT,18.683,42,1,1,7,2,9,23,4.35,0.02,0.02,0.17,0.05,0.21,0.55,1.45,0.03,0,0,0.0,0,2,0.0,1,21,4.76,0,0,0.0
330,Kyle Gentles,D,KIT,20.296,44,0,5,4,5,9,33,0.0,0.0,0.11,0.09,0.11,0.2,0.75,1.05,0.02,0,1,0.0,0,0,0.0,0,32,0.0,0,0,0.0
331,Conor Ali,D,HAM/KGN,19.521,39,0,3,6,3,9,19,0.0,0.0,0.08,0.15,0.08,0.23,0.49,0.56,0.01,0,0,0.0,0,1,0.0,0,18,0.0,1,1,100.0
332,Jack Phibbs,LW,FLNT,19.532,55,4,4,1,8,9,57,7.02,0.07,0.07,0.02,0.15,0.16,1.04,4.48,0.08,0,12,0.0,1,5,20.0,3,40,7.5,138,359,38.44
333,Daniel Walker,LW,NB,19.33,37,6,1,2,7,9,82,7.32,0.16,0.03,0.05,0.19,0.24,2.22,8.09,0.22,0,11,0.0,2,17,11.76,4,54,7.41,8,13,61.54
334,Alexandre Hogue,D,SAR,17.583,52,4,3,2,7,9,38,10.53,0.08,0.06,0.04,0.13,0.17,0.73,2.09,0.04,0,1,0.0,0,2,0.0,4,35,11.43,0,2,0.0
335,Anthony DeMeo,D,SSM/SBY,19.25,44,2,4,3,6,9,41,4.88,0.05,0.09,0.07,0.14,0.2,0.93,2.56,0.06,0,3,0.0,1,5,20.0,1,33,3.03,0,0,0.0
336,Cole Resnick,LW,OSH,19.404,53,4,2,3,6,9,52,7.69,0.08,0.04,0.06,0.11,0.17,0.98,3.82,0.07,2,7,28.57,0,6,0.0,2,39,5.13,92,243,37.86
337,Tag Bertuzzi,LW,GUE/HAM,17.572,30,4,2,3,6,9,54,7.41,0.13,0.07,0.1,0.2,0.3,1.8,5.19,0.17,0,8,0.0,2,12,16.67,2,34,5.88,2,5,40.0
338,Cole Cameron,D,KIT/NB,20.354,58,0,2,6,2,8,71,0.0,0.0,0.03,0.1,0.03,0.14,1.22,2.21,0.04,0,0,0.0,0,2,0.0,0,69,0.0,0,2,0.0
339,Ben Garagan,C,HAM/WSR,19.691,49,5,0,3,5,8,56,8.93,0.1,0.0,0.06,0.1,0.16,1.14,5.08,0.1,3,7,42.86,0,9,0.0,2,40,5.0,126,267,47.19
340,Sahil Panwar,C,LDN,16.636,25,5,3,0,8,8,26,19.23,0.2,0.12,0.0,0.32,0.32,1.04,1.82,0.07,0,2,0.0,2,5,40.0,3,19,15.79,9,23,39.13
341,Alec Belanger,D,OTT,16.299,24,3,2,3,5,8,11,27.27,0.12,0.08,0.12,0.21,0.33,0.46,0.68,0.03,1,1,100.0,0,1,0.0,2,9,22.22,1,1,100.0
342,Ian Martin,RW,KGN/NIAG,17.632,48,1,4,3,5,8,36,2.78,0.02,0.08,0.06,0.1,0.17,0.75,1.74,0.04,1,3,33.33,0,1,0.0,0,32,0.0,4,6,66.67
343,Jake Uberti,C,NIAG,16.526,53,2,3,3,5,8,34,5.88,0.04,0.06,0.06,0.09,0.15,0.64,3.16,0.06,0,5,0.0,0,4,0.0,2,25,8.0,126,263,47.91
