,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
770,Justin Desjardins,C,DRU,4.402,12,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.046,0.008,0,0,0.0,0,1,0.0,0,2,0.0,0,0,0.0
771,Olivier Gervais-Daigneault,C,GAT,3.987,8,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.018,0.004,0,0,0.0,0,0,0.0,0,3,0.0,0,1,0.0
772,Olivier Coulombe,C,BAT,4.125,6,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.006,0.002,0,0,0.0,0,0,0.0,0,3,0.0,0,0,0.0
773,Alexis Dube,C,BAT,4.034,12,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.001,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0
774,Ludovick Nault-Daigle,C,SHA,4.238,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
775,Felix Laniel,LW,DRU,4.345,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
776,Connor Richard,C,SNB,3.949,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
777,Robbie Dowell,C,BAT,4.338,6,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.018,0.006,0,1,0.0,0,0,0.0,0,0,0.0,0,1,0.0
778,Sonny Kabatay,C,HAL,3.948,10,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.051,0.01,0,1,0.0,0,1,0.0,0,1,0.0,0,0,0.0
779,Ben Allison,LW,CAP/GAT,4.017,12,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.104,0.04,0.006,0,1,0.0,0,0,0.0,0,4,0.0,4,8,6.25
780,Thomas Vezina,C,CHI,4.648,4,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.026,0.014,0,0,0.0,0,1,0.0,0,2,0.0,0,0,0.0
781,Justin Charrette,C,DRU,4.154,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.014,0.014,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0.0
782,Zachary Bellefeuille,C,SHA,4.357,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1,3,4.166
783,Yannic Bastarache,RW,BAT,4.167,8,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.035,0.009,0,1,0.0,0,0,0.0,0,2,0.0,0,0,0.0
784,Zachary Roy,C,BLB,4.172,20,0,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.058,0.006,0,1,0.0,0,2,0.0,0,12,0.0,6,26,2.885
785,Jaden Mason,C,MON,4.462,6,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.012,0.004,0,0,0.0,0,0,0.0,0,2,0.0,0,0,0.0
786,Xavier Fillion,C,CHI,3.988,8,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.014,0.004,0,0,0.0,0,0,0.0,0,1,0.0,4,4,12.5
787,Jessy Dalibert,C,SHA,4.388,8,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.012,0.002,0,0,0.0,0,1,0.0,0,2,0.0,0,0,0.0
788,Alexandre Roy,RW,VIC,4.656,4,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.034,0.018,0,0,0.0,0,1,0.0,0,1,0.0,2,14,1.786
789,William Veillette,C,SHA,4.112,12,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.02,0.004,0,1,0.0,0,1,0.0,0,0,0.0,3,16,2.344
790,Nicholas Pryce,LW,BAT,36.968,30,0,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.49,0.1,0,2,0.0,0,2,0.0,0,11,0.0,0,2,0.0
791,Jacob Ball,LW,NB,37.328,8,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.18,0.04,0,1,0.0,0,0,0.0,0,1,0.0,15,28,53.57
792,Graham Dickerson,RW,KIT,35.138000000000005,60,0,0,0,0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.53,1.43,0.05,0,3,0.0,0,4,0.0,0,9,0.0,0,2,0.0
793,Lane Cormier,RW,ROU,41.184,10,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.06,0.01,0,0,0.0,0,0,0.0,0,3,0.0,1,2,50.0
794,Alex Robert,RW,NB,36.391999999999996,60,0,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.77,0.06,0,3,0.0,0,2,0.0,0,10,0.0,0,1,0.0
