,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
703,Justin Sourdif,C,VAN,15.48,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
704,Connor McClennon,LW,KTN,15.226,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
705,Noah Boyko,C,LET,15.048,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
706,Matthew Sanders,D,MJ,16.674,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
707,Samuel Stewart,LD,TC,17.216,10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
708,Matthew Culling,C,EDM,16.501,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
709,Keegan Craik,LW,PG,16.31,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
710,Edge Lambert,RW,PG,16.039,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
711,Tyson Feist,D,SPO,16.668,8,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
712,Remy Aquilon,LD,VIC,16.531,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
713,Greyson Stewart,C,SC,16.061,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
714,Justin Svenson,RW,RD,16.422,18,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
715,Ben King,RW,SC,15.338,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
716,Chad Nychuk,D,BDN,16.529,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
717,Cole  Beamin,D,PG,15.929,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
718,Devan Klassen,D,CGY,16.332,9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
719,Kyle Crnkovic,LW,SAS,15.595,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
720,Ethan Mack,RW,SAS,16.052,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
721,Jaydon Dureau,LW,POR,16.652,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
722,Carter Spenst,D,SC,16.178,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
723,Raphael Pelletier,C,EDM,15.491,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
