,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
510,Tommy Cardinal,RW,SHA/VDO/SHA,18.17,111,6,2,4,8,12,91,6.73,0.055,0.02,0.035,0.07,0.11,0.82,3.79,0.07,607.64,10.79,0.315,0.105,0.21,0.42,0.63,4.6,0.375,17.135,17.01,42.645,50.445,-7.52,38.24,25,66,3,9,35.0,1,14,4.545,2,68,2.95,2,7,16.665
511,Brendan Sibley,D,SNB,16.888,70,1,4,7,5,12,22,6.25,0.015,0.05,0.095,0.07,0.165,0.31,0.63,0.02,579.485,16.395,0.065,0.195,0.345,0.26,0.605,1.125,0.07,16.25,17.395,36.55,53.69,-8.205,28.81,36,92,0,1,0.0,1,4,25.0,0,17,0.0,0,0,0.0
512,Emile Lauzon,C,VDO,16.85,60,3,6,3,9,12,72,2.31,0.03,0.06,0.03,0.09,0.12,1.0,3.15,0.09,396.705,12.07,0.13,0.26,0.13,0.39,0.52,4.855,0.455,16.24,16.9,32.61,49.46,-25.99,18.055,15,63,1,8,8.335,1,14,3.57,1,50,1.11,331,652,54.195
513,Charles Beaudoin,RW,SHA,16.564,45,7,3,2,10,12,58,12.07,0.16,0.07,0.04,0.22,0.27,1.29,6.23,0.14,609.25,13.54,0.69,0.3,0.2,0.98,1.18,5.71,0.61,17.49,17.64,37.55,54.16,-0.23,35.38,23,42,1,13,7.69,3,10,30.0,3,35,8.57,4,13,30.77
514,Marc-Antoine Brouillette,RW,BAC/VIC,18.788,32,8,2,2,10,12,43,18.6,0.25,0.06,0.06,0.31,0.38,1.34,4.31,0.13,399.11,12.47,1.2,0.3,0.3,1.5,1.8,6.46,0.65,17.56,16.95,49.62,42.53,7.95,63.64,21,12,2,5,40.0,4,8,50.0,2,30,6.67,3,12,25.0
515,Kieran Craig,LW,GAT,17.079,49,4,5,3,9,12,57,7.02,0.08,0.1,0.06,0.18,0.24,1.16,4.86,0.1,591.9,12.08,0.41,0.51,0.3,0.91,1.22,5.78,0.49,17.83,17.23,44.55,49.19,-2.5,43.48,20,26,2,9,22.22,2,9,22.22,0,39,0.0,20,35,57.14
516,Jeremie Jacob,C,SNB,17.38,49,5,2,5,7,12,49,10.2,0.1,0.04,0.1,0.14,0.24,1.0,4.17,0.09,629.05,12.84,0.48,0.19,0.48,0.67,1.14,4.67,0.4,17.58,17.78,33.62,52.63,-2.53,32.35,22,46,1,11,9.09,0,3,0.0,4,35,11.43,95,228,41.67
517,Vincent Lavoie,LW,BAC,18.878,32,9,1,2,10,12,47,19.15,0.28,0.03,0.06,0.31,0.38,1.47,5.36,0.17,383.2,11.98,1.41,0.16,0.31,1.57,1.88,7.36,0.84,17.49,17.41,47.87,48.56,27.88,68.0,17,8,5,12,41.67,2,7,28.57,2,28,7.14,66,124,53.23
518,Jeremy Jacques,D,SHE,17.561,44,1,4,7,5,12,37,2.7,0.02,0.09,0.16,0.11,0.27,0.84,1.27,0.03,753.63,17.13,0.08,0.32,0.56,0.4,0.96,2.95,0.1,16.71,17.61,52.99,51.8,-3.22,48.75,39,41,1,1,100.0,0,1,0.0,0,35,0.0,0,0,0.0
519,Anthony Sorrentino,C,HAL,20.605,35,5,4,3,9,12,69,7.25,0.14,0.11,0.09,0.26,0.34,1.97,7.78,0.22,463.4,13.24,0.65,0.52,0.39,1.17,1.55,8.93,1.01,16.07,17.24,47.88,53.61,-7.55,42.22,19,26,1,14,7.14,2,10,20.0,2,45,4.44,141,261,54.02
520,Barrett Dachyshyn,RW,HAL,18.446,87,4,7,1,11,12,90,4.355,0.055,0.09,0.015,0.145,0.16,1.085,4.905,0.125,475.155,11.185,0.265,0.455,0.07,0.72,0.79,5.735,0.63,16.03,17.39,48.33,51.37,-18.565,35.245,25,47,1,11,6.25,1,12,6.25,2,67,3.005,49,113,41.195
