,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
180,Darian Pilon,LW,SBY,36.91,129,22,20,11,42,53,208,21.03,0.33999999999999997,0.31,0.17,0.65,0.8300000000000001,3.25,23.27,0.36,10,33,57.769999999999996,7,41,34.32,5,134,8.32,65,144,83.08
181,Graham Knott,LW,WSR/NIAG,19.672,59,15,26,11,41,52,124,12.1,0.25,0.44,0.19,0.69,0.88,2.1,15.17,0.26,7,17,41.18,4,24,16.67,4,83,4.82,400,769,52.02
182,C.J. Clarke,RW,PBO/FLNT/FLNT,36.203,122,25,20,7,45,52,226,21.68,0.4,0.32999999999999996,0.11,0.74,0.85,3.6799999999999997,23.5,0.39,4,19,46.59,10,24,83.91,11,183,11.379999999999999,18,42,83.75
183,Medric Mercier,D,OSH/SSM,19.913,67,22,10,20,32,52,186,11.83,0.33,0.15,0.3,0.48,0.78,2.78,11.9,0.18,1,1,100.0,0,4,0.0,21,181,11.6,0,2,0.0
184,Cedric Ralph,C,GUE,36.302,124,32,15,5,47,52,162,36.87,0.49,0.24,0.08,0.74,0.8200000000000001,2.5700000000000003,21.35,0.33,11,23,86.27,8,38,40.4,13,101,24.759999999999998,261,547,100.62
185,Adam McMaster,C,NB,34.117000000000004,125,14,24,14,38,52,232,11.82,0.22000000000000003,0.38,0.22,0.6000000000000001,0.8300000000000001,3.7,23.22,0.37,2,26,13.33,2,39,8.0,10,167,11.489999999999998,436,1030,84.78
186,Danil Antropov,LW,OSH,32.474000000000004,119,23,16,13,39,52,144,32.41,0.38,0.27,0.22,0.65,0.88,2.42,18.1,0.30000000000000004,5,24,27.78,7,24,58.57,11,96,24.34,9,21,86.11
187,Stephen Desrocher,D,KGN,20.638,65,12,16,23,28,51,230,5.22,0.18,0.25,0.35,0.43,0.78,3.54,14.65,0.23,1,9,11.11,2,8,25.0,9,213,4.23,0,0,0.0
188,Kris Bennett,C,SAG,20.693,66,25,17,9,42,51,207,12.08,0.38,0.26,0.14,0.64,0.77,3.14,25.22,0.38,7,30,23.33,6,51,11.76,12,126,9.52,591,1211,48.8
189,Connor Roberts,C,HAM/HAM/FLNT,34.128,129,26,19,5,45,50,190,27.3,0.4,0.30000000000000004,0.08,0.69,0.77,2.92,21.71,0.32999999999999996,6,44,27.619999999999997,10,34,68.44,10,112,16.09,153,368,81.59
190,Kody Clark,RW,OTT,34.851,113,25,17,8,42,50,209,22.700000000000003,0.44,0.30000000000000004,0.14,0.74,0.8899999999999999,3.71,23.59,0.42000000000000004,4,35,21.330000000000002,8,44,41.9,13,130,18.17,9,27,61.84
191,Tyler Rollo,LW,PBO/PBO/LDN,39.259,118,18,21,11,39,50,142,25.04,0.3,0.35,0.19,0.65,0.8400000000000001,2.37,16.45,0.27,5,26,53.39,4,28,19.05,9,88,19.869999999999997,597,1374,86.13
192,Christian Girhiny,LW,ER,37.14,124,22,19,9,41,50,195,24.189999999999998,0.36,0.31,0.15,0.66,0.8200000000000001,3.24,23.84,0.4,8,26,63.1,6,37,31.509999999999998,8,132,13.809999999999999,7,27,50.0
