"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","exG/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Isaac Ratcliffe","LW","GUE","19.582","52","22","10","8","32","40","126","17.46","0.42","0.19","0.15","0.62","0.77","2.42","14.16","0.27","767.47","14.76","1.72","0.78","0.63","2.5","3.13","9.85","1.11","15.18","14.41","54.02","50.34","8.7","59.8","61","41","6","23","26.09","8","23","34.78","8","80","10.0","1","4","25.0"
"","Cole Coskey","RW","SAG","19.291","51","20","12","6","32","38","98","20.41","0.39","0.24","0.12","0.63","0.75","1.92","10.9","0.21","703.27","13.79","1.71","1.02","0.51","2.73","3.24","8.36","0.93","14.76","14.14","55.89","50.63","-0.74","55.17","48","39","4","17","23.53","7","13","53.85","9","68","13.24","90","186","48.39"
"","Cole Carter","RW","MISS","20.195","52","20","12","6","32","38","146","13.7","0.38","0.23","0.12","0.62","0.73","2.81","17.3","0.33","824.73","15.86","1.46","0.87","0.44","2.33","2.76","10.62","1.26","14.99","13.9","47.59","51.14","3.69","50.0","51","51","7","32","21.88","2","23","8.7","11","91","12.09","21","47","44.68"
"","Riley Damiani","C","KIT","18.489","45","15","17","6","32","38","116","12.93","0.33","0.38","0.13","0.71","0.84","2.58","12.06","0.27","658.4","14.63","1.37","1.55","0.55","2.92","3.46","10.57","1.1","14.86","14.37","46.38","51.36","27.04","64.29","45","25","3","17","17.65","8","23","34.78","4","76","5.26","224","506","44.27"
"","Allan McShane","LW","OSH","18.585","51","17","15","4","32","36","112","15.18","0.33","0.29","0.08","0.63","0.71","2.2","12.39","0.24","680.58","13.34","1.5","1.32","0.35","2.82","3.17","9.87","1.09","14.5","14.29","53.17","48.18","13.08","64.0","48","27","4","13","30.77","8","23","34.78","5","76","6.58","287","510","56.27"
"","Nathan Dunkley","LW","LDN","18.53","55","18","13","12","31","43","111","16.22","0.33","0.24","0.22","0.56","0.78","2.02","16.82","0.31","786.11","14.29","1.37","0.99","0.92","2.37","3.28","8.47","1.28","14.31","13.97","60.38","47.59","10.97","67.65","69","33","8","33","24.24","4","25","16.0","6","53","11.32","117","213","54.93"
"","Serron Noel","RW","OSH","18.103","57","17","14","10","31","41","96","17.71","0.3","0.25","0.18","0.54","0.72","1.68","12.6","0.22","834.45","14.64","1.22","1.01","0.72","2.23","2.95","6.9","0.91","14.31","14.45","54.79","49.11","0.04","55.66","59","47","6","21","28.57","5","22","22.73","6","53","11.32","0","8","0.0"
"","Sasha Chmelevski","C","OTT","19.269","43","15","16","5","31","36","118","12.71","0.35","0.37","0.12","0.72","0.84","2.74","12.42","0.29","636.11","14.79","1.41","1.51","0.47","2.92","3.4","11.13","1.17","14.62","14.04","65.97","47.74","-7.0","63.77","44","25","2","18","11.11","3","20","15.0","10","80","12.5","339","552","61.41"
"","Rickard Hugg","C","KIT","19.658","49","21","9","11","30","41","108","19.44","0.43","0.18","0.22","0.61","0.84","2.2","9.82","0.2","717.7","14.65","1.76","0.75","0.92","2.51","3.43","9.03","0.82","15.1","14.59","47.6","51.2","23.53","58.82","50","35","1","13","7.69","7","24","29.17","13","71","18.31","86","173","49.71"
"","Marco Rossi","C","OTT","16.978","42","18","12","10","30","40","108","16.67","0.43","0.29","0.24","0.71","0.95","2.57","10.29","0.24","611.13","14.55","1.77","1.18","0.98","2.95","3.93","10.6","1.01","15.51","14.08","69.35","48.97","25.14","83.08","54","11","3","18","16.67","3","20","15.0","12","70","17.14","272","503","54.08"
