,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
1226,Brady Shaw,LW,SA,24.953,5,1,0,0,1,1,8,12.5,0.2,0.0,0.0,0.2,0.2,1.6
1227,Ryan MacKinnon,D,BRI,23.029,3,0,0,1,0,1,5,0.0,0.0,0.0,0.33,0.0,0.33,1.67
1228,Dmitry Osipov,D,CHI,20.948,11,0,1,0,1,1,4,0.0,0.0,0.09,0.0,0.09,0.09,0.36
1229,Jesper Lindgren,D,TOR,20.326,4,0,1,0,1,1,4,0.0,0.0,0.25,0.0,0.25,0.25,1.0
1230,Turner Ottenbreit,D,SA,20.187,4,1,0,0,1,1,7,14.29,0.25,0.0,0.0,0.25,0.25,1.75
1231,Artur Tyanulin,RW,TUC,20.652,8,0,1,0,1,1,8,0.0,0.0,0.12,0.0,0.12,0.12,1.0
1232,Garrett McFadden,D,LAV,20.452,4,0,1,0,1,1,1,0.0,0.0,0.25,0.0,0.25,0.25,0.25
1233,Scott Pooley,RW,TOR,23.969,6,1,0,0,1,1,20,2.5,0.1,0.0,0.0,0.1,0.1,2.0
1234,Ostap Safin,RW,BAK,18.593,9,1,0,0,1,1,9,11.11,0.11,0.0,0.0,0.11,0.11,1.0
1235,Jeremiah Addison,LW,LAV,20.901,6,1,0,0,1,1,7,14.29,0.17,0.0,0.0,0.17,0.17,1.17
1236,Josh Kestner,F,TOR,23.853,3,1,0,0,1,1,3,33.33,0.33,0.0,0.0,0.33,0.33,1.0
1237,Mark Auk,D,IA,22.574,5,1,0,0,1,1,6,16.67,0.2,0.0,0.0,0.2,0.2,1.2
1238,Matt Leitner,C,UTI,26.801,5,1,0,0,1,1,3,33.33,0.2,0.0,0.0,0.2,0.2,0.6
1239,Ryan Murray,D,CLE,23.968,1,1,0,0,1,1,2,50.0,1.0,0.0,0.0,1.0,1.0,2.0
