"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","G/GP","A1/GP","A2/GP","P1/GP","P/GP"
"","Jake Gricius","C","POR","17.925","69","13","7","4","20","24","0.19","0.1","0.06","0.29","0.35"
"","Blake Bargar","RW","SEA","19.529","58","11","9","4","20","24","0.19","0.16","0.07","0.34","0.41"
"","Andrew Fyten","RW","SC/CGY","18.924","69","9","11","3","20","23","0.13","0.16","0.04","0.29","0.33"
"","Jonathan Smart","D","REG/KTN","18.292","69","6","13","15","19","34","0.09","0.19","0.22","0.28","0.49"
"","Igor Merezhko","D","LET","19.379","71","5","14","14","19","33","0.07","0.2","0.2","0.27","0.46"
"","Martin Bodak","D","KTN","18.798","59","7","12","12","19","31","0.12","0.2","0.2","0.32","0.53"
"","Jake Christiansen","D","EVT","18.01","72","6","13","12","19","31","0.08","0.18","0.17","0.26","0.43"
"","Bowen Byram","D","VAN","16.258","60","6","13","8","19","27","0.1","0.22","0.13","0.32","0.45"
"","Max Patterson","RW","SC","17.72","72","9","10","5","19","24","0.12","0.14","0.07","0.26","0.33"
"","Dylan MacPherson","D","MH","19.387","67","4","15","3","19","22","0.06","0.22","0.04","0.28","0.33"
"","Keenan Taphorn","RW","KTN","17.701","61","7","12","2","19","21","0.11","0.2","0.03","0.31","0.34"
"","Lane Gilliss","LW","POR","17.958","65","7","12","1","19","20","0.11","0.18","0.02","0.29","0.31"
"","Gordie Ballhorn","D","KEL","20.036","72","6","12","24","18","42","0.08","0.17","0.33","0.25","0.58"
"","Milos Roman","C","VAN","17.859","39","10","8","14","18","32","0.26","0.21","0.36","0.46","0.82"
"","Kobe Mohr","LW","EDM","18.297","58","11","7","10","18","28","0.19","0.12","0.17","0.31","0.48"
"","Brayden Pachal","D","PA","18.065","68","7","11","8","18","26","0.1","0.16","0.12","0.26","0.38"
"","Bryan Lockner","RW","MH/REG","17.449","70","14","4","8","18","26","0.2","0.06","0.11","0.26","0.37"
"","Owen Hardy","LW","VAN","18.588","56","11","7","5","18","23","0.2","0.12","0.09","0.32","0.41"
"","Elijah Brown","C","MH/SEA","17.695","43","8","10","5","18","23","0.19","0.23","0.12","0.42","0.53"
"","Mason Mannek","C","POR","17.432","58","10","8","4","18","22","0.17","0.14","0.07","0.31","0.38"
"","Spencer Moe","C","PA","17.69","72","9","9","4","18","22","0.12","0.12","0.06","0.25","0.31"
"","Michael Farren","RW","SAS","17.408","62","11","7","4","18","22","0.18","0.11","0.06","0.29","0.35"
"","Jackson Shepard","LW","KAM","17.547","72","9","9","4","18","22","0.12","0.12","0.06","0.25","0.31"
"","Gage Ramsay","C","SAS","18.919","63","6","12","2","18","20","0.1","0.19","0.03","0.29","0.32"
"","Ryan Vandervlis","C","LET","19.316","19","11","7","1","18","19","0.58","0.37","0.05","0.95","1.0"
"","Matt Barberis","D","VAN","19.655","56","3","14","13","17","30","0.05","0.25","0.23","0.3","0.54"
"","Tyson Helgesen","D","SPO","20.266","72","6","11","12","17","29","0.08","0.15","0.17","0.24","0.4"
"","Connor Zary","C","KAM","15.973","68","11","6","12","17","29","0.16","0.09","0.18","0.25","0.43"
"","Reece Harsch","D","SEA","18.689","53","10","7","8","17","25","0.19","0.13","0.15","0.32","0.47"
"","James Hilsendager","D","KEL","20.49","54","6","11","7","17","24","0.11","0.2","0.13","0.31","0.44"
"","Jeff de Wit","C","REG/VIC/KTN","19.508","43","11","6","3","17","20","0.26","0.14","0.07","0.4","0.47"
"","Caiden Daley","C","BDN","17.61","69","7","10","2","17","19","0.1","0.14","0.03","0.25","0.28"
"","Josh Brook","D","MJ","18.248","45","3","13","16","16","32","0.07","0.29","0.36","0.36","0.71"
"","Ty Prefontaine","D","LET","18.673","71","5","11","9","16","25","0.07","0.15","0.13","0.23","0.35"
"","Ryan Schoettler","D","PG","18.144","72","8","8","7","16","23","0.11","0.11","0.1","0.22","0.32"
"","Luke Toporowski","LW","SPO","16.427","61","10","6","7","16","23","0.16","0.1","0.11","0.26","0.38"
"","Tate Popple","C","MJ","17.536","71","6","10","6","16","22","0.08","0.14","0.08","0.23","0.31"
"","Barrett Sheen","LW","MJ/KTN","18.987","60","5","11","5","16","21","0.08","0.18","0.08","0.27","0.35"
"","Maxwell James","LW","TC","20.425","58","7","9","5","16","21","0.12","0.16","0.09","0.28","0.36"
"","Justin Nachbaur","LW","PA","17.534","66","9","7","4","16","20","0.14","0.11","0.06","0.24","0.3"
"","Gunnar Wegleitner","RW","BDN","19.362","57","10","6","3","16","19","0.18","0.11","0.05","0.28","0.33"
"","Jesse Gabrielle","LW","REG","20.247","27","13","3","3","16","19","0.48","0.11","0.11","0.59","0.7"
"","Ethan O'Rourke","RW","EVT/PG","18.555","66","6","10","2","16","18","0.09","0.15","0.03","0.24","0.27"
"","Wyatte Wylie","D","EVT","17.87","72","6","9","16","15","31","0.08","0.12","0.22","0.21","0.43"
"","Brandon Schuldhaus","D","MJ/RD","19.56","64","8","7","12","15","27","0.12","0.11","0.19","0.23","0.42"
"","Oleg Sosunov","D","MJ","19.425","71","7","8","11","15","26","0.1","0.11","0.15","0.21","0.37"
"","Brendan De Jong","D","POR","19.483","68","6","9","10","15","25","0.09","0.13","0.15","0.22","0.37"
"","Jett Woo","D","MJ","17.137","44","9","6","10","15","25","0.2","0.14","0.23","0.34","0.57"
"","Erik Gardiner","LW","KEL","18.489","31","7","8","7","15","22","0.23","0.26","0.23","0.48","0.71"
"","Josh Williams","RW","MH","16.523","47","11","4","5","15","20","0.23","0.09","0.11","0.32","0.43"
"","Brad Ginnell","C","POR/KTN","17.2","61","8","7","4","15","19","0.13","0.11","0.07","0.25","0.31"
"","Sahvan Khaira","D","SC","19.702","65","6","8","12","14","26","0.09","0.12","0.18","0.22","0.4"
"","Chase Hartje","D","BDN/MJ","17.747","58","3","11","11","14","25","0.05","0.19","0.19","0.24","0.43"
"","Matthew Robertson","D","EDM","16.521","67","7","7","10","14","24","0.1","0.1","0.15","0.21","0.36"
